repo,buggy_fix,fix0_file,fix1_file
fluent-bit,9cc2ff55a146b2b3e8c321a87920c0d39a2b2ba6,oss-fuzz-vulns/vulns/fluent-bit/OSV-2022-289.yaml,oss-fuzz-vulns/vulns/fluent-bit/OSV-2022-988.yaml
fluent-bit,3c13edab76389a7412deef12ac61a25b85f00c39,oss-fuzz-vulns/vulns/fluent-bit/OSV-2022-289.yaml,oss-fuzz-vulns/vulns/fluent-bit/OSV-2022-988.yaml
fluent-bit,af7ef37d6f0c61a79a8bd66f603273245198e069,oss-fuzz-vulns/vulns/fluent-bit/OSV-2022-255.yaml,oss-fuzz-vulns/vulns/fluent-bit/OSV-2022-281.yaml
fluent-bit,03f3339594bdb472315823db78ca209b7ba319fb,oss-fuzz-vulns/vulns/fluent-bit/OSV-2020-2220.yaml,oss-fuzz-vulns/vulns/fluent-bit/OSV-2021-838.yaml
fluent-bit,15254d5bb2101995b32c7e34e86d01a1a878590b,oss-fuzz-vulns/vulns/fluent-bit/OSV-2020-1816.yaml,oss-fuzz-vulns/vulns/fluent-bit/OSV-2020-2066.yaml
fluent-bit,22346a74c07ceb90296be872be2d53eb92252a54,oss-fuzz-vulns/vulns/fluent-bit/OSV-2021-702.yaml,oss-fuzz-vulns/vulns/fluent-bit/OSV-2021-750.yaml
fluent-bit,9b4d9ee0f9d42383bad593b05b95f25e8b294c71,oss-fuzz-vulns/vulns/fluent-bit/OSV-2021-702.yaml,oss-fuzz-vulns/vulns/fluent-bit/OSV-2021-750.yaml
libredwg,580e8bbebf18579b97e2c20b032368b9079624ca,oss-fuzz-vulns/vulns/libredwg/OSV-2022-387.yaml,oss-fuzz-vulns/vulns/libredwg/OSV-2022-1198.yaml
libredwg,9d068534eb093790d9be1b8aa8ed47cafc7f2285,oss-fuzz-vulns/vulns/libredwg/OSV-2022-656.yaml,oss-fuzz-vulns/vulns/libredwg/OSV-2023-634.yaml
libredwg,428d1ed6a874d11b39a34f779140755f087fc9e2,oss-fuzz-vulns/vulns/libredwg/OSV-2022-657.yaml,oss-fuzz-vulns/vulns/libredwg/OSV-2023-135.yaml
libredwg,9a6bd55c9d0722cb101fe85a3b22d89e4ff4fe52,oss-fuzz-vulns/vulns/libredwg/OSV-2023-135.yaml,oss-fuzz-vulns/vulns/libredwg/OSV-2023-397.yaml
